Florenciaa,"LINESTRING(-203 1642,-203 1642,-203 1642,-203 1642,-203 1642,-203 1642,-203 1642)",0.4,8,5,0
Florenciaa,"LINESTRING(-203 1642,-11215.0 -9145.1)",0.4,8,5,1
Henko,"LINESTRING(5209 2374,5209 2374,5214 2380,5214 2380,5214 2380,5214 2380,5205 2377)",0.2,3,2,0
Henko,"LINESTRING(5205 2377,5282.2 2143.8)",0.2,3,2,1
Euphrasiaa,"LINESTRING(667 -3873,667 -3873,667 -3873,667 -3873,667 -3873,667 -3873,667 -3873)",4.3,4,5,0
Euphrasiaa,"LINESTRING(667 -3873,859.4 -4842.5)",4.3,4,5,1
Diotrephes,"LINESTRING(1429 966,1429 966,1429 966,1429 966,1429 966,1445 966,1487 964,1562 987,1563 982,1563 982,1572 967,1572 967,1580 955,1580 955)",0.6,1,5,0
Diotrephes,"LINESTRING(1580 955,587.0 -725.5)",0.6,1,5,1
Duvaa,"LINESTRING(-12514 -11235,-12514 -11235,-12514 -11235,-12548 -11201,-12560 -11152,-12538 -11103,-12504 -11095,-12463 -11086,-12372 -11071,-12337 -11084,-12350 -11115,-12350 -11115,-12350 -11115,-12350 -11115,-12350 -11115,-12350 -11115)",1.2,4,3,0
Duvaa,"LINESTRING(-12350 -11115,-11246.2 -10881.1)",1.2,4,3,1
Mientje,"LINESTRING(-9925 -5457,-9925 -5457,-9925 -5457,-9936 -5466,-9918 -5474,-9909 -5473,-9903 -5475,-9903 -5475,-9903 -5475,-9903 -5475)",5.3,8,5,0
Mientje,"LINESTRING(-9903 -5475,-10184.5 -4756.8)",5.3,8,5,1
Aster,"LINESTRING(-10001 -4728,-9996 -4713,-9983 -4691,-9966 -4671,-9918 -4645,-9868 -4668)",4.3,5,1,0
Aster,"LINESTRING(-9868 -4668,-560.2 -14284.6)",4.3,5,1,1
Anfelisa,"LINESTRING(-15476 -10230,-15476 -10230,-15476 -10230,-15476 -10230,-15476 -10230,-15476 -10230,-15476 -10230,-15478 -10233)",2.9,6,3,0
Anfelisa,"LINESTRING(-15478 -10233,-14561.4 -10511.3)",2.9,6,3,1
Wilred,"LINESTRING(4114 2522,4114 2522,4114 2522,4114 2522,4114 2522,4114 2522,4114 2522,4120 2501,4112 2478,4112 2478,4112 2478)",2.1,6,7,0
Wilred,"LINESTRING(4112 2478,5340.2 2298.0)",2.1,6,7,1
Mabiley,"LINESTRING(-12472 -9977,-12472 -9977,-12472 -9977,-12472 -9977,-12472 -9977,-12472 -9977,-12472 -9977,-12472 -9977,-12472 -9977,-12472 -9977,-12472 -9977,-12471 -9977,-12451 -9972,-12451 -9972,-12450 -9986,-12450 -9996)",1.4,6,7,0
Mabiley,"LINESTRING(-12450 -9996,-11268.7 -10876.2)",1.4,6,7,1
Baudry,"LINESTRING(878 374,878 374,878 374,878 374,878 374,878 374,878 374,878 374,894 391,894 391,894 391,904 395,916 401,935 410,949 413,949 413)",0.3,6,3,0
Baudry,"LINESTRING(949 413,976.0 -3.6)",0.3,6,3,1
Diophantusa,"LINESTRING(-14399 -10548,-14399 -10548,-14401 -10544,-14406 -10528,-14393 -10512,-14361 -10503,-14294 -10492,-14224 -10487,-14200 -10479,-14200 -10479)",2.9,8,8,0
Diophantusa,"LINESTRING(-14200 -10479,-14561.4 -10511.3)",2.9,8,8,1
Geffreia,"LINESTRING(-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494,-10300 -6494)",3.0,7,8,0
Geffreia,"LINESTRING(-10300 -6494,-9354.5 -7205.7)",3.0,7,8,1
Danburgaa,"LINESTRING(-9058 3133,-9058 3133,-9058 3133,-9026 3139,-8963 3126,-8918 3074,-8899 3037,-8886 2989,-8857 2959,-8903 2926,-8919 2937,-8894 2915,-8894 2915,-8879 2915,-8851 2914,-8834 2906,-8860 2912,-8830 2905,-8826 2903)",3.8,8,1,0
Danburgaa,"LINESTRING(-8826 2903,-9003.8 3189.5)",3.8,8,1,1
Sageua,"LINESTRING(1815 2566,1815 2566,1815 2566,1815 2566,1815 2566,1815 2566,1815 2566,1812 2560,1775 2533,1739 2497,1702 2459,1702 2459,1702 2459)",2.3,5,9,0
Sageua,"LINESTRING(1702 2459,-225.3 1633.8)",2.3,5,9,1
Oenus,"LINESTRING(1619 -7837,1643 -7693,1644 -7543,1615 -7406,1649 -7265,1626 -7111,1679 -6963,1818 -6898,1969 -6932,2122 -6930,2261 -6868,2410 -6804)",1.3,6,11,0
Oenus,"LINESTRING(2410 -6804,2310.9 -6628.4)",1.3,6,11,1
Beila,"LINESTRING(-9008 3031,-9008 3031,-9029 3042,-9059 3072,-9060 3122,-8961 3142,-8862 3020,-8827 2871,-8771 2728,-8754 2566,-8753 2406,-8732 2253)",3.3,8,7,0
Beila,"LINESTRING(-8732 2253,-8672.9 1952.1)",3.3,8,7,1
Yvettea,"LINESTRING(2232 -6774,2232 -6774,2232 -6774,2232 -6774,2232 -6774,2232 -6774,2232 -6774,2232 -6774,2232 -6774,2232 -6774,2232 -6774,2232 -6774,2232 -6774,2224 -6766,2194 -6722,2183 -6667,2199 -6687,2228 -6830,2128 -6931,1973 -6933,1818 -6898)",3.0,8,7,0
Yvettea,"LINESTRING(1818 -6898,1626.2 -7105.0)",3.0,8,7,1
Nagal,"LINESTRING(2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2190 -7504,2210 -7578,2170 -7718,2050 -7810)",1.9,8,4,0
Nagal,"LINESTRING(2050 -7810,1738.2 -7881.1)",1.9,8,4,1
Bawden,"LINESTRING(-13395 -4563,-13211 -4540,-13057 -4532,-12915 -4570,-12817 -4667,-12658 -4687,-12540 -4625,-12462 -4495,-12410 -4356,-12446 -4203,-12508 -4066,-12564 -3952)",1.8,6,1,0
Bawden,"LINESTRING(-12564 -3952,-12843.2 -3918.3)",1.8,6,1,1
Athenaeus,"LINESTRING(4720 -635,4720 -635,4720 -635,4720 -635,4720 -635,4720 -635,4720 -635,4720 -635,4720 -635,4747 -585,4767 -436,4659 -332,4506 -282,4360 -228,4277 -104,4177 12,4045 98,3911 152,3747 146,3609 89,3456 17)",1.3,5,5,0
Athenaeus,"LINESTRING(3456 17,3151.8 -28.7)",1.3,5,5,1
